take	bytes	duration_seconds	sha256	preview_url
01	414720	25.920000	397d17e70fef47367bccb22293b6b19d9d2d05f20b46292af172f91e81a1e12e	https://storage.googleapis.com/adm--audio-playback--7d--public/mcp-preview/b1ab77e6-d039-4818-9986-8d5042767737.mp3
02	421248	26.328000	b9b020437dacafb5445c85b20f98e3dffc201a96b1ab9a15c888b6a047d5b65d	https://storage.googleapis.com/adm--audio-playback--7d--public/mcp-preview/1a115613-caf8-41ac-8214-bf6b78d8ff02.mp3
03	441216	27.576000	4e602620f0293e87723853f3c5e7c83a5b68793a33754f59c106b30e9dbf67b7	https://storage.googleapis.com/adm--audio-playback--7d--public/mcp-preview/952516ec-8883-48c1-b4b5-fbf7fe29d179.mp3
04	470016	29.376000	f874693bb6841541425c1371e6cd46fe3fd687df4a11fba795d554ec6697288e	https://storage.googleapis.com/adm--audio-playback--7d--public/mcp-preview/46b3c7f8-8c27-4119-8003-488da60bc9cc.mp3
05	475776	29.736000	68ea933d54d6a7aca2422fb4913e554cf9251b88f7513b27d74479db37c55638	https://storage.googleapis.com/adm--audio-playback--7d--public/mcp-preview/e218bb6f-1bae-4ffb-a8f7-131a96ac3b70.mp3
06	475008	29.688000	4da5d511d2a6aab5c3bbb2d0fef1cb077b8f1b704770a14d017b91b83ab72536	https://storage.googleapis.com/adm--audio-playback--7d--public/mcp-preview/d53cc9a6-b75d-4d5d-8f33-96c06714440a.mp3
07	468480	29.280000	599bd75ec6c1cf187bb91bead78c5e91b35acbb567384a35b8542d5522bad325	https://storage.googleapis.com/adm--audio-playback--7d--public/mcp-preview/d17c904f-6fc8-4653-84a1-d0652fca9a86.mp3
08	475008	29.688000	883ac4a0d293f59c0675496a47729c2830517a018ad6d6156e2fb9b37de876b7	https://storage.googleapis.com/adm--audio-playback--7d--public/mcp-preview/49a97f3c-4517-44db-8801-ce82502d5c07.mp3
09	470400	29.400000	757d98a1b15a925d0e9e69bafe18d101e260824e6b75ae8a953ef83ee6ff90f7	https://storage.googleapis.com/adm--audio-playback--7d--public/mcp-preview/27b7e0e4-bd3c-469f-9f3d-3508d070e693.mp3
10	481920	30.120000	ab6028573236b00a6149b1f8c57580ad52fc40c78925ae1991838b54c6469250	https://storage.googleapis.com/adm--audio-playback--7d--public/mcp-preview/49388fd2-648d-4dad-9b21-f865ee8a7e52.mp3
11	447360	27.960000	1f18e6a9f6db172083e37ad10f05a67a58b4aeac3c55a2891152682cfe99835f	https://storage.googleapis.com/adm--audio-playback--7d--public/mcp-preview/db9dd236-2719-4d04-9d7a-079bc925d353.mp3
12	477696	29.856000	d2c3261008790533f9d37b393a6677f5835a9abfc1f6e31175d45d79fa69ca59	https://storage.googleapis.com/adm--audio-playback--7d--public/mcp-preview/2146f2d4-04a7-4dbb-b262-68fcb3e21fc8.mp3
13	408576	25.536000	6afd3b6fe2f3106d5013c7aa36f4622b49a09add2f030fb0c9cf163f0ea93688	https://storage.googleapis.com/adm--audio-playback--7d--public/mcp-preview/28b2ccdd-f456-4ff8-acd8-a6cea7104bfb.mp3
14	429312	26.832000	1f3ae13354b05b1cfd836e6a4041a0553d6a026263b331e94a464553d5caca9e	https://storage.googleapis.com/adm--audio-playback--7d--public/mcp-preview/0466b258-2b94-453c-a602-7d8f0d1f41a1.mp3
